,ProdTaken,TypeofContact,CityTier,Occupation,Gender,NumberOfPersonVisited,NumberOfFollowups,ProductPitched,PreferredPropertyStar,MaritalStatus,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisited,Designation,Age,DurationOfPitch,MonthlyIncome
1181,0,Self Enquiry,1,Salaried,Female,2,4.0,Super Deluxe,3.0,Married,3.0,1,5,1,0.0,AVP,49.0,12.0,28966.0
1182,0,,1,Small Business,Female,2,4.0,Deluxe,3.0,Married,1.0,0,5,1,1.0,Manager,36.0,13.0,22347.0
1183,0,Self Enquiry,1,Salaried,Male,3,1.0,Deluxe,5.0,Married,7.0,0,1,1,2.0,Manager,36.0,9.0,21842.0
1184,0,Self Enquiry,1,Small Business,Female,3,3.0,Super Deluxe,3.0,Married,4.0,0,1,1,1.0,AVP,54.0,28.0,32426.0
1185,0,Self Enquiry,1,Salaried,Male,3,4.0,Super Deluxe,3.0,Married,2.0,0,3,1,1.0,AVP,43.0,21.0,32603.0
1186,1,Company Invited,3,Salaried,Male,2,3.0,Deluxe,3.0,Single,4.0,1,3,1,0.0,Manager,35.0,13.0,19581.0
1187,0,Company Invited,1,Salaried,Male,2,3.0,Deluxe,3.0,Married,1.0,0,5,1,0.0,Manager,38.0,13.0,19735.0
1188,0,Self Enquiry,3,Small Business,Male,2,4.0,Deluxe,4.0,Married,2.0,1,5,0,0.0,Manager,36.0,11.0,22347.0
1189,0,Self Enquiry,3,Small Business,Male,3,3.0,Deluxe,3.0,Married,2.0,0,3,1,1.0,Manager,33.0,8.0,20505.0
1190,0,Self Enquiry,1,Small Business,Male,2,3.0,Deluxe,4.0,Married,1.0,0,4,0,1.0,Manager,32.0,8.0,20470.0
1191,0,Self Enquiry,3,Salaried,Female,3,3.0,Deluxe,3.0,Married,2.0,0,1,0,2.0,Manager,31.0,11.0,20476.0
1192,0,Self Enquiry,1,Small Business,Female,3,3.0,Basic,5.0,Married,5.0,1,1,1,1.0,Executive,49.0,22.0,17587.0
1193,0,Company Invited,1,Small Business,Female,2,4.0,Basic,4.0,Single,2.0,0,1,1,0.0,Executive,38.0,8.0,17440.0
1194,0,Self Enquiry,3,Salaried,Female,2,1.0,Super Deluxe,4.0,Married,7.0,0,1,0,0.0,AVP,47.0,8.0,30972.0
1195,0,Self Enquiry,1,Salaried,Male,2,3.0,Super Deluxe,3.0,Single,5.0,0,3,1,0.0,AVP,49.0,6.0,30379.0
1196,0,Self Enquiry,3,Salaried,Male,3,3.0,Standard,3.0,Unmarried,4.0,1,3,0,2.0,Senior Manager,41.0,29.0,22082.0
1197,0,Self Enquiry,3,Salaried,Male,2,3.0,Basic,5.0,Single,2.0,0,1,0,1.0,Executive,24.0,15.0,17728.0
1198,0,Company Invited,3,Salaried,Female,2,3.0,Deluxe,3.0,Married,2.0,1,1,0,0.0,Manager,33.0,22.0,20368.0
1199,0,Self Enquiry,1,Salaried,Male,3,3.0,Deluxe,3.0,Married,7.0,0,3,1,0.0,Manager,36.0,32.0,20347.0
1200,0,Self Enquiry,2,Salaried,Female,2,3.0,Basic,3.0,Married,5.0,1,3,1,0.0,Executive,44.0,6.0,18195.0
1201,1,Self Enquiry,1,Small Business,Male,3,4.0,Basic,3.0,Single,2.0,1,4,1,2.0,Executive,36.0,14.0,22347.0
1202,0,Self Enquiry,1,Small Business,Female,2,3.0,Basic,3.0,Married,1.0,0,5,0,0.0,Executive,38.0,10.0,18306.0
1203,0,Self Enquiry,1,Small Business,Male,2,1.0,Standard,3.0,Married,4.0,0,3,0,1.0,Senior Manager,53.0,30.0,22005.0
1204,1,Company Invited,3,Small Business,Female,3,3.0,Basic,3.0,Married,3.0,1,4,1,1.0,Executive,48.0,13.0,17655.0
1205,1,Self Enquiry,1,Salaried,Male,3,3.0,Basic,4.0,Single,2.0,0,3,1,1.0,Executive,32.0,8.0,17311.7
1206,0,Company Invited,1,Small Business,Male,3,3.0,Basic,3.0,Single,2.0,0,4,1,2.0,Executive,26.0,13.0,17570.0
1207,0,Self Enquiry,1,Large Business,Male,3,4.0,Basic,4.0,Married,6.0,0,1,1,1.0,Executive,36.0,28.0,18537.0
1208,0,Self Enquiry,1,Small Business,Male,2,4.0,Deluxe,3.0,Married,2.0,0,4,1,1.0,Manager,36.0,11.0,22347.0
1209,0,Self Enquiry,1,Small Business,Male,3,5.0,Standard,3.0,Married,4.0,0,5,0,0.0,Senior Manager,55.0,6.0,25883.0
1210,0,Self Enquiry,1,Small Business,Male,3,1.0,Basic,4.0,Married,2.0,0,1,1,1.0,Executive,33.0,27.0,17311.7
1211,0,Company Invited,3,Small Business,Male,2,5.0,Deluxe,3.0,Married,2.0,0,1,0,1.0,Manager,37.0,6.0,24525.0
1212,0,Self Enquiry,1,Salaried,Female,2,4.0,Basic,3.0,Married,2.0,0,4,1,1.0,Executive,34.0,25.0,17929.0
1213,1,Self Enquiry,3,Salaried,Male,2,3.0,Basic,3.0,Married,2.0,1,1,1,0.0,Executive,24.0,13.0,17311.7
1214,0,Self Enquiry,1,Salaried,Female,3,1.0,Standard,3.0,Married,2.0,1,4,1,0.0,Senior Manager,44.0,8.0,22879.0
1215,0,Company Invited,1,Small Business,Male,3,,Basic,3.0,Single,1.0,1,3,1,0.0,Executive,35.0,8.0,19930.0
1216,0,Self Enquiry,3,Small Business,Male,3,3.0,Deluxe,3.0,Married,2.0,1,3,0,0.0,Manager,43.0,8.0,22847.0
1217,0,,1,Small Business,Male,3,1.0,Basic,3.0,Married,2.0,0,1,0,0.0,Executive,24.0,13.0,22347.0
1218,0,Self Enquiry,3,Small Business,Male,2,3.0,Standard,3.0,Unmarried,2.0,0,5,1,0.0,Senior Manager,41.0,12.0,24241.0
1219,0,Self Enquiry,1,Small Business,Female,2,3.0,Basic,3.0,Married,1.0,0,5,1,1.0,Executive,29.0,15.0,17974.0
1220,0,Self Enquiry,3,Salaried,Female,2,3.0,Deluxe,3.0,Single,4.0,0,4,1,1.0,Manager,36.0,13.0,19502.0
1221,0,Company Invited,1,Salaried,Male,3,4.0,Standard,3.0,Married,4.0,0,1,1,2.0,Senior Manager,45.0,6.0,25748.0
1222,1,Self Enquiry,2,Salaried,Male,2,5.0,Basic,3.0,Married,2.0,0,1,0,1.0,Executive,24.0,28.0,17311.7
1223,1,Company Invited,3,Salaried,Male,2,5.0,Super Deluxe,3.0,Married,1.0,0,5,1,1.0,AVP,47.0,15.0,27936.0
1224,0,Self Enquiry,1,Small Business,Male,3,5.0,Basic,3.0,Married,2.0,0,3,0,2.0,Executive,26.0,23.0,17311.7
1225,0,Self Enquiry,1,Large Business,Female,2,4.0,Super Deluxe,4.0,Single,2.0,0,3,1,0.0,AVP,45.0,32.0,31704.0
1226,0,Company Invited,1,Salaried,Male,2,3.0,Basic,3.0,Married,7.0,0,1,0,0.0,Executive,36.0,16.0,18433.0
1227,0,Self Enquiry,1,Salaried,Male,3,3.0,Basic,3.0,Married,2.0,0,5,0,2.0,Executive,36.0,8.0,18477.0
1228,0,Company Invited,2,Salaried,Male,2,5.0,Deluxe,4.0,Married,7.0,0,5,0,1.0,Manager,41.0,10.0,21430.0
1229,0,Self Enquiry,1,Salaried,Female,3,3.0,Deluxe,5.0,Married,3.0,1,1,0,0.0,Manager,40.0,14.0,21516.0
1230,0,Self Enquiry,1,Small Business,Male,3,3.0,Basic,5.0,Married,2.0,0,4,1,1.0,Executive,36.0,32.0,22347.0
1231,0,Self Enquiry,1,Salaried,Male,2,3.0,Deluxe,4.0,Single,7.0,0,4,1,0.0,Manager,46.0,19.0,20562.0
1232,0,Self Enquiry,1,Salaried,Male,2,3.0,Deluxe,3.0,Married,3.0,0,5,0,1.0,Manager,35.0,32.0,21883.0
1233,0,Self Enquiry,1,Salaried,Male,2,3.0,Basic,3.0,Married,2.0,0,1,0,0.0,Executive,30.0,22.0,17862.0
1234,0,Company Invited,3,Small Business,Male,2,,Deluxe,4.0,Married,1.0,0,1,0,1.0,Manager,47.0,8.0,19978.0
1235,0,Self Enquiry,3,Salaried,Male,3,3.0,Standard,3.0,Married,5.0,1,3,0,2.0,Senior Manager,46.0,8.0,25368.0
1236,1,Self Enquiry,3,Small Business,Male,3,4.0,Deluxe,5.0,Married,6.0,1,1,1,0.0,Manager,36.0,19.0,21134.0
1237,1,Self Enquiry,3,Salaried,Male,2,5.0,Deluxe,4.0,Unmarried,7.0,0,3,0,1.0,Manager,32.0,6.0,21735.0
1238,0,Self Enquiry,1,Small Business,Female,2,3.0,Basic,4.0,Single,2.0,0,3,1,1.0,Executive,24.0,10.0,18295.0
1239,0,Company Invited,1,Large Business,Female,1,3.0,Deluxe,3.0,Single,3.0,0,1,1,0.0,Manager,31.0,30.0,20238.0
1240,0,Company Invited,1,Salaried,Male,3,3.0,Deluxe,3.0,Married,2.0,1,5,1,2.0,Manager,39.0,6.0,21472.0
1241,0,Self Enquiry,3,Salaried,Male,3,5.0,Standard,3.0,Married,4.0,0,3,1,2.0,Senior Manager,32.0,25.0,24610.0
1242,0,Self Enquiry,3,Small Business,Male,2,3.0,King,4.0,Single,2.0,0,4,1,,VP,40.0,13.0,34632.85
1243,0,Self Enquiry,2,Salaried,Female,2,5.0,Standard,3.0,Married,5.0,0,1,1,1.0,Senior Manager,45.0,10.0,24756.0
1244,0,Company Invited,1,Large Business,Female,3,,Basic,5.0,Single,1.0,0,3,0,1.0,Executive,30.0,8.0,19968.0
1245,0,Company Invited,2,Small Business,Male,2,3.0,Basic,3.0,Married,1.0,0,4,1,1.0,Executive,24.0,16.0,17311.7
1246,1,Company Invited,2,Salaried,Female,3,4.0,Basic,3.0,Married,7.0,0,5,1,2.0,Executive,30.0,14.0,17311.7
1247,0,Self Enquiry,3,Large Business,Male,2,3.0,Deluxe,3.0,Married,2.0,0,5,0,1.0,Manager,31.0,11.0,23346.0
1248,0,Self Enquiry,1,Small Business,Female,3,3.0,Basic,3.0,Single,2.0,0,4,1,2.0,Executive,36.0,14.0,18445.0
1249,1,Self Enquiry,3,Small Business,Female,2,5.0,Basic,4.0,Single,2.0,0,1,1,1.0,Executive,29.0,15.0,17760.0
1250,0,Company Invited,1,Salaried,Male,3,1.0,Deluxe,3.0,Unmarried,1.0,1,3,0,1.0,Manager,29.0,6.0,21294.0
1251,0,Self Enquiry,3,Small Business,Male,3,4.0,Standard,5.0,Married,3.0,0,1,0,2.0,Senior Manager,30.0,21.0,22140.0
1252,0,Self Enquiry,1,Small Business,Male,3,1.0,Basic,3.0,Married,1.0,1,1,0,1.0,Executive,34.0,8.0,17932.0
1253,0,Company Invited,3,Small Business,Female,3,3.0,Deluxe,4.0,Single,1.0,0,1,0,0.0,Manager,33.0,8.0,20147.0
1254,0,Self Enquiry,3,Small Business,Female,3,3.0,Deluxe,3.0,Single,4.0,0,4,0,1.0,Manager,49.0,13.0,19507.0
1255,1,Self Enquiry,3,Salaried,Female,3,3.0,Standard,5.0,Unmarried,3.0,1,5,0,0.0,Senior Manager,33.0,22.0,23564.0
1256,0,Company Invited,1,Small Business,Female,3,4.0,Basic,4.0,Married,5.0,0,3,0,0.0,Executive,38.0,8.0,17468.0
1257,1,Self Enquiry,3,Small Business,Male,3,3.0,Standard,3.0,Married,3.0,0,5,1,0.0,Senior Manager,31.0,22.0,23161.0
1258,0,Self Enquiry,1,Large Business,Female,3,4.0,Basic,5.0,Married,2.0,0,4,0,0.0,Executive,29.0,10.0,17311.7
1259,0,Self Enquiry,1,Salaried,Male,2,1.0,Deluxe,3.0,Married,4.0,0,1,1,0.0,Manager,30.0,22.0,20294.0
1260,0,Company Invited,1,Large Business,Male,3,3.0,Basic,4.0,Single,3.0,0,3,1,1.0,Executive,32.0,11.0,17718.0
1261,0,Self Enquiry,1,Small Business,Male,2,5.0,Deluxe,3.0,Married,4.0,1,5,0,1.0,Manager,38.0,24.0,20811.0
1262,1,Company Invited,1,Large Business,Male,2,4.0,Basic,3.0,Married,1.0,1,5,1,1.0,Executive,43.0,23.0,17437.0
1263,0,Self Enquiry,1,Small Business,Male,2,3.0,Basic,4.0,Married,1.0,0,1,1,1.0,Executive,42.0,18.0,17766.0
1264,0,Self Enquiry,1,Small Business,Male,2,4.0,King,5.0,Married,1.0,0,5,0,1.0,VP,55.0,8.0,34038.0
1265,0,Company Invited,1,Large Business,Male,2,3.0,Deluxe,4.0,Married,6.0,0,1,0,0.0,Manager,33.0,10.0,18055.0
1266,0,Self Enquiry,1,Salaried,Male,3,3.0,Basic,5.0,Married,2.0,0,5,1,1.0,Executive,41.0,15.0,17311.7
1267,0,Company Invited,3,Salaried,Male,2,3.0,Deluxe,3.0,Married,2.0,1,1,1,1.0,Manager,36.0,16.0,22347.0
1268,0,Company Invited,1,Small Business,Female,2,4.0,Super Deluxe,3.0,Married,5.0,1,1,0,0.0,AVP,53.0,6.0,27965.0
1269,0,Self Enquiry,2,Salaried,Male,3,3.0,Basic,3.0,Single,1.0,0,1,0,0.0,Executive,36.0,8.0,18539.0
1270,0,Self Enquiry,3,Salaried,Female,2,5.0,Deluxe,3.0,Single,6.0,0,1,1,0.0,Manager,34.0,9.0,21029.0
1271,1,Self Enquiry,3,Small Business,Male,2,3.0,Basic,4.0,Single,2.0,0,5,1,1.0,Executive,24.0,13.0,17679.0
1272,0,Self Enquiry,1,Salaried,Female,2,4.0,Basic,3.0,Married,2.0,0,3,0,1.0,Executive,36.0,12.0,18702.0
1273,1,Self Enquiry,1,Small Business,Female,3,3.0,Basic,5.0,Married,2.0,1,3,0,1.0,Executive,24.0,14.0,17398.0
1274,0,Self Enquiry,3,Small Business,Female,3,4.0,Deluxe,3.0,Married,2.0,0,3,1,0.0,Manager,31.0,32.0,20468.0
1275,0,Self Enquiry,1,Large Business,Female,2,3.0,Standard,3.0,Married,3.0,0,4,1,1.0,Senior Manager,51.0,9.0,28116.0
1276,0,Self Enquiry,3,Small Business,Male,2,4.0,Deluxe,4.0,Married,2.0,0,4,0,1.0,Manager,36.0,15.0,22347.0
1277,0,Self Enquiry,1,Small Business,Male,2,3.0,King,3.0,Married,1.0,1,1,1,1.0,VP,46.0,8.0,34328.0
1278,0,Self Enquiry,1,Salaried,Male,2,3.0,Standard,5.0,Married,1.0,1,5,1,1.0,Senior Manager,36.0,16.0,23321.0
1279,1,Company Invited,1,Small Business,Male,2,3.0,Basic,4.0,Married,2.0,1,3,1,1.0,Executive,44.0,6.0,17342.0
1280,0,Self Enquiry,2,Salaried,Male,2,3.0,Deluxe,4.0,Married,3.0,0,3,1,1.0,Manager,36.0,14.0,22347.0
1281,1,Self Enquiry,3,Salaried,Male,2,3.0,Deluxe,3.0,Single,2.0,1,5,0,0.0,Manager,35.0,32.0,20813.0
1282,0,Self Enquiry,1,Salaried,Male,2,1.0,Basic,5.0,Married,7.0,0,3,1,1.0,Executive,33.0,14.0,18143.0
1283,0,Self Enquiry,1,Salaried,Male,2,3.0,Basic,3.0,Married,2.0,0,1,0,0.0,Executive,28.0,6.0,17311.7
1284,0,Self Enquiry,1,Small Business,Male,3,3.0,Standard,3.0,Unmarried,1.0,0,3,1,0.0,Senior Manager,39.0,16.0,28464.0
1285,0,Company Invited,3,Salaried,Male,3,4.0,Deluxe,4.0,Unmarried,1.0,0,4,1,2.0,Manager,46.0,32.0,22991.0
1286,0,Self Enquiry,1,Salaried,Female,2,3.0,Basic,5.0,Married,5.0,0,4,1,1.0,Executive,36.0,8.0,18377.0
1287,0,Self Enquiry,1,Small Business,Male,3,1.0,Deluxe,5.0,Married,6.0,0,4,1,0.0,Manager,42.0,19.0,20538.0
1288,0,Company Invited,1,Small Business,Male,2,3.0,Deluxe,3.0,Married,3.0,0,3,0,1.0,Manager,35.0,8.0,20762.0
1289,0,Company Invited,2,Salaried,Male,3,3.0,Basic,4.0,Married,6.0,0,3,1,2.0,Executive,38.0,8.0,17592.0
1290,1,Company Invited,1,Salaried,Male,3,3.0,Deluxe,5.0,Married,5.0,0,3,0,1.0,Manager,34.0,15.0,20346.0
1291,1,Self Enquiry,1,Small Business,Male,2,3.0,Deluxe,5.0,Single,2.0,0,4,0,0.0,Manager,36.0,16.0,22347.0
1292,0,Company Invited,3,Salaried,Male,2,3.0,Deluxe,3.0,Married,3.0,0,3,1,0.0,Manager,36.0,26.0,22347.0
1293,0,Company Invited,1,Salaried,Male,2,3.0,Basic,3.0,Single,5.0,0,3,0,1.0,Executive,43.0,15.0,17438.0
1294,0,Self Enquiry,1,Salaried,Male,2,1.0,Deluxe,4.0,Unmarried,4.0,0,5,1,0.0,Manager,41.0,11.0,21870.0
1295,0,Self Enquiry,3,Small Business,Female,2,3.0,Standard,3.0,Married,1.0,1,1,0,1.0,Senior Manager,41.0,10.0,25447.0
1296,0,Self Enquiry,1,Small Business,Female,3,3.0,Standard,3.0,Unmarried,1.0,0,4,0,0.0,Senior Manager,30.0,16.0,24667.0
1297,1,Self Enquiry,2,Small Business,Female,3,3.0,Basic,4.0,Married,1.0,1,3,0,1.0,Executive,26.0,26.0,17311.7
1298,1,Self Enquiry,1,Small Business,Female,3,3.0,Deluxe,4.0,Married,5.0,0,3,1,2.0,Manager,46.0,27.0,23926.0
1299,0,Self Enquiry,1,Salaried,Female,2,3.0,Deluxe,3.0,Married,5.0,0,3,0,1.0,Manager,40.0,6.0,21513.0
1300,0,Self Enquiry,3,Large Business,Male,3,1.0,Deluxe,3.0,Married,2.0,0,1,0,2.0,Manager,34.0,14.0,21799.0
1301,0,Company Invited,3,Small Business,Male,2,3.0,Super Deluxe,4.0,Married,5.0,0,4,1,0.0,AVP,55.0,8.0,17705.0
1302,0,Self Enquiry,1,Small Business,Male,3,5.0,Basic,3.0,Married,1.0,0,1,1,0.0,Executive,35.0,29.0,17705.0
1303,0,Self Enquiry,1,Salaried,Female,3,4.0,Standard,4.0,Married,1.0,1,4,1,2.0,Senior Manager,47.0,10.0,25333.0
1304,0,Self Enquiry,1,Salaried,Female,2,3.0,Deluxe,5.0,Married,3.0,0,1,1,1.0,Manager,40.0,13.0,22347.0
1305,0,Self Enquiry,1,Small Business,Female,3,3.0,Deluxe,3.0,Married,5.0,0,3,1,1.0,Manager,54.0,13.0,21854.0
1306,0,Company Invited,3,Small Business,Female,3,3.0,Standard,5.0,Married,3.0,0,1,1,2.0,Senior Manager,31.0,13.0,24637.0
1307,0,Self Enquiry,1,Small Business,Female,3,3.0,Basic,5.0,Married,2.0,0,1,1,0.0,Executive,36.0,6.0,18591.0
1308,0,Self Enquiry,3,Small Business,Female,3,5.0,Deluxe,3.0,Married,3.0,1,3,0,0.0,Manager,38.0,8.0,20405.0
1309,0,Self Enquiry,3,Small Business,Male,2,3.0,Deluxe,3.0,Single,2.0,0,1,0,0.0,Manager,26.0,13.0,19684.0
1310,0,Company Invited,1,Salaried,Male,2,3.0,Super Deluxe,3.0,Married,3.0,1,1,1,0.0,AVP,55.0,21.0,30787.0
1311,0,Company Invited,1,Small Business,Female,2,3.0,Basic,3.0,Single,2.0,0,5,1,0.0,Executive,24.0,20.0,17311.7
1312,1,Self Enquiry,2,Salaried,Male,2,1.0,Basic,5.0,Married,1.0,0,1,1,0.0,Executive,31.0,24.0,17956.0
1313,1,Self Enquiry,2,Salaried,Male,2,4.0,Basic,5.0,Married,5.0,1,5,1,1.0,Executive,29.0,19.0,17335.0
1314,0,Company Invited,3,Salaried,Female,3,3.0,Deluxe,3.0,Married,5.0,0,1,1,2.0,Manager,45.0,8.0,20154.0
1315,0,Self Enquiry,1,Salaried,Female,3,3.0,Deluxe,4.0,Married,5.0,1,4,0,0.0,Manager,36.0,8.0,21962.0
1316,0,Company Invited,3,Salaried,Male,3,3.0,Deluxe,3.0,Married,2.0,0,3,1,2.0,Manager,43.0,8.0,20675.0
1317,0,Company Invited,1,Salaried,Female,2,3.0,Basic,3.0,Single,1.0,1,1,1,1.0,Executive,27.0,11.0,17379.0
1318,0,Company Invited,1,Small Business,Male,2,3.0,Basic,3.0,Married,2.0,0,3,1,1.0,Executive,36.0,26.0,22347.0
1319,0,Company Invited,3,Small Business,Male,3,3.0,Deluxe,3.0,Single,1.0,0,3,1,1.0,Manager,32.0,13.0,19648.0
1320,0,Company Invited,1,Large Business,Male,2,3.0,Basic,3.0,Married,4.0,0,4,1,0.0,Executive,42.0,16.0,17936.0
1321,0,Self Enquiry,1,Salaried,Female,3,3.0,Basic,3.0,Single,5.0,0,3,1,0.0,Executive,47.0,15.0,17311.7
1322,0,Self Enquiry,1,Salaried,Male,2,3.0,Standard,3.0,Married,4.0,0,1,1,1.0,Senior Manager,46.0,8.0,23578.0
1323,0,Company Invited,2,Salaried,Male,2,3.0,Basic,3.0,Married,2.0,0,4,0,1.0,Executive,28.0,6.0,17706.0
1324,0,Self Enquiry,1,Salaried,Male,3,5.0,Deluxe,3.0,Married,1.0,0,5,1,2.0,Manager,29.0,32.0,21384.0
1325,0,Self Enquiry,1,Salaried,Male,2,3.0,Basic,3.0,Single,5.0,0,1,1,1.0,Executive,36.0,14.0,22347.0
1326,1,Self Enquiry,3,Small Business,Male,2,4.0,Deluxe,4.0,Unmarried,1.0,1,1,1,0.0,Manager,32.0,8.0,24907.0
1327,0,Self Enquiry,3,Large Business,Female,2,1.0,Super Deluxe,5.0,Married,3.0,0,3,1,0.0,AVP,46.0,9.0,28225.0
1328,0,Self Enquiry,3,Small Business,Female,2,4.0,Deluxe,3.0,Married,2.0,0,1,1,1.0,Manager,36.0,29.0,18540.0
1329,0,Self Enquiry,2,Small Business,Male,2,4.0,Basic,4.0,Married,2.0,0,3,1,1.0,Executive,29.0,12.0,17804.0
1330,0,Self Enquiry,1,Small Business,Female,2,4.0,King,3.0,Married,1.0,0,3,1,1.0,VP,43.0,12.0,34392.0
1331,0,Self Enquiry,1,Salaried,Male,3,4.0,King,4.0,Married,5.0,0,3,1,,VP,48.0,16.0,34632.85
1332,1,Company Invited,1,Salaried,Male,3,4.0,Basic,3.0,Single,2.0,1,3,1,2.0,Executive,29.0,30.0,17439.0
1333,1,Self Enquiry,3,Salaried,Female,3,3.0,Standard,4.0,Married,6.0,0,1,0,2.0,Senior Manager,46.0,16.0,22314.0
1334,0,Company Invited,1,Salaried,Female,3,4.0,Basic,5.0,Married,1.0,0,4,1,0.0,Executive,27.0,13.0,19774.0
1335,0,Self Enquiry,1,Salaried,Male,2,3.0,Deluxe,3.0,Married,1.0,0,5,1,0.0,Manager,36.0,25.0,22347.0
1336,0,Self Enquiry,1,Large Business,Male,3,4.0,Basic,3.0,Married,1.0,0,5,0,0.0,Executive,55.0,8.0,17662.0
1337,0,Self Enquiry,3,Small Business,Female,3,3.0,Basic,4.0,Married,2.0,0,1,1,0.0,Executive,28.0,9.0,17856.0
1338,1,Self Enquiry,3,Small Business,Male,2,3.0,Basic,3.0,Single,2.0,0,5,0,0.0,Executive,30.0,15.0,17311.7
1339,1,Self Enquiry,1,Salaried,Male,3,3.0,Basic,4.0,Single,2.0,1,3,1,0.0,Executive,24.0,13.0,17472.0
1340,0,Self Enquiry,3,Large Business,Female,3,4.0,Deluxe,3.0,Married,2.0,1,1,1,2.0,Manager,36.0,16.0,20673.0
1341,0,Self Enquiry,1,Salaried,Male,2,3.0,Deluxe,3.0,Married,2.0,0,5,0,0.0,Manager,36.0,26.0,22347.0
1342,0,Self Enquiry,3,Salaried,Male,3,3.0,Standard,3.0,Married,3.0,1,4,0,2.0,Senior Manager,34.0,10.0,24713.0
1343,0,Self Enquiry,1,Salaried,Male,2,3.0,Basic,5.0,Single,4.0,0,4,0,0.0,Executive,29.0,13.0,17311.7
1344,0,Self Enquiry,1,Small Business,Male,3,3.0,Deluxe,5.0,Married,6.0,1,3,0,0.0,Manager,37.0,13.0,22347.0
1345,0,Self Enquiry,1,Salaried,Female,2,4.0,Deluxe,4.0,Married,1.0,1,1,1,1.0,Manager,35.0,13.0,19788.0
1346,0,Self Enquiry,1,Salaried,Female,3,4.0,Deluxe,3.0,Married,1.0,0,4,0,0.0,Manager,45.0,31.0,20906.0
1347,0,Company Invited,2,Salaried,Male,3,4.0,Deluxe,3.0,Single,2.0,0,3,1,0.0,Manager,36.0,8.0,22347.0
1348,0,Self Enquiry,1,Salaried,Male,3,3.0,Super Deluxe,5.0,Married,3.0,0,3,1,2.0,AVP,40.0,6.0,31823.0
1349,0,Self Enquiry,1,Salaried,Female,2,4.0,Basic,3.0,Married,2.0,1,4,0,0.0,Executive,26.0,6.0,17933.0
1350,0,Self Enquiry,3,Small Business,Female,2,1.0,Deluxe,3.0,Unmarried,1.0,0,1,0,1.0,Manager,27.0,8.0,21500.0
1351,0,Company Invited,1,Small Business,Female,2,3.0,Super Deluxe,3.0,Married,4.0,0,5,0,0.0,AVP,48.0,28.0,32174.0
1352,0,Self Enquiry,1,Salaried,Male,3,,Deluxe,5.0,Married,3.0,0,3,1,2.0,Manager,44.0,6.0,20033.0
1353,1,Company Invited,1,Large Business,Male,2,5.0,Basic,5.0,Married,2.0,1,3,1,0.0,Executive,34.0,22.0,17311.7
1354,1,Self Enquiry,1,Salaried,Male,3,3.0,Basic,3.0,Single,2.0,0,3,0,0.0,Executive,55.0,30.0,17587.0
1355,0,Self Enquiry,3,Small Business,Male,2,4.0,Deluxe,4.0,Married,3.0,0,4,1,0.0,Manager,36.0,23.0,20507.0
1356,0,,3,Small Business,Female,2,3.0,Deluxe,4.0,Married,6.0,0,3,1,1.0,Manager,41.0,13.0,22347.0
1357,0,Self Enquiry,1,Small Business,Male,2,3.0,Standard,5.0,Married,1.0,0,3,1,0.0,Senior Manager,42.0,12.0,28348.0
1358,0,Self Enquiry,3,Small Business,Female,2,3.0,Deluxe,3.0,Married,3.0,1,1,0,0.0,Manager,31.0,16.0,21583.0
1359,0,Self Enquiry,3,Small Business,Female,3,4.0,Deluxe,3.0,Married,4.0,1,3,0,0.0,Manager,34.0,9.0,23103.0
1360,0,Self Enquiry,1,Small Business,Female,3,1.0,Basic,3.0,Married,1.0,0,5,1,2.0,Executive,36.0,10.0,22347.0
1361,0,Company Invited,1,Salaried,Male,3,1.0,Basic,3.0,Married,1.0,0,4,1,1.0,Executive,26.0,12.0,17544.0
1362,0,Company Invited,1,Small Business,Male,2,3.0,Deluxe,3.0,Single,5.0,0,1,1,1.0,Manager,45.0,6.0,20399.0
1363,0,Self Enquiry,3,Small Business,Male,2,3.0,Deluxe,3.0,Single,2.0,0,1,0,0.0,Manager,33.0,16.0,20487.0
1364,0,Company Invited,3,Salaried,Male,2,4.0,Deluxe,3.0,Married,2.0,1,1,0,0.0,Manager,28.0,6.0,21834.0
1365,1,Company Invited,3,Large Business,Male,2,1.0,Basic,5.0,Single,2.0,0,3,1,1.0,Executive,29.0,30.0,17311.7
1366,0,Company Invited,3,Salaried,Female,2,5.0,Deluxe,3.0,Married,7.0,0,5,0,0.0,Manager,39.0,27.0,20736.0
1367,0,Self Enquiry,1,Large Business,Male,2,3.0,Basic,4.0,Married,2.0,0,4,1,1.0,Executive,27.0,8.0,17311.7
1368,0,Company Invited,1,Salaried,Male,2,4.0,Deluxe,3.0,Married,2.0,1,1,1,0.0,Manager,34.0,28.0,20747.0
1369,1,Self Enquiry,3,Small Business,Female,2,3.0,Deluxe,3.0,Unmarried,4.0,1,5,1,1.0,Manager,28.0,19.0,24854.0
1370,0,Company Invited,1,Large Business,Male,3,3.0,Deluxe,4.0,Married,1.0,0,3,0,2.0,Manager,47.0,20.0,20467.0
1371,0,Self Enquiry,3,Small Business,Female,2,4.0,Deluxe,5.0,Married,5.0,0,5,0,1.0,Manager,55.0,17.0,20380.0
1372,0,Self Enquiry,1,Small Business,Male,2,3.0,Deluxe,5.0,Married,2.0,0,4,1,0.0,Manager,39.0,15.0,20151.0
1373,0,Company Invited,1,Small Business,Female,2,4.0,Deluxe,4.0,Married,2.0,1,1,1,0.0,Manager,38.0,14.0,17311.7
